EntryDate,EntryTime,EntryPrice,Type,ExitDate,ExitTime,ExitPrice,Symbol,Pnl
20-01-2017,09:30:00,50.2,Sell,20-01-2017,15:15:00,17.8,19300CE,810
20-01-2017,09:30:00,48,Sell,20-01-2017,13:01:00,62.4,18800PE,-360
20-01-2017,10:01:00,83.1,Buy,20-01-2017,12:07:00,66.5,18900PE,-415
23-01-2017,09:30:00,59.05,Sell,23-01-2017,09:35:00,76.75,18900CE,-442.5
23-01-2017,09:30:00,53.8,Sell,23-01-2017,15:15:00,18.65,18600PE,878.75
23-01-2017,09:35:00,111.55,Buy,23-01-2017,11:59:00,122.7,18800CE,278.75
23-01-2017,12:23:00,59.05,Sell,23-01-2017,15:15:00,69.7,18900CE,-266.25
24-01-2017,09:30:00,39.55,Sell,24-01-2017,15:15:00,28.8,19100CE,268.75
24-01-2017,09:30:00,38.45,Sell,24-01-2017,12:55:00,50,18900PE,-288.75
24-01-2017,14:46:00,88.4,Buy,24-01-2017,15:15:00,76.5,19000CE,-297.5
24-01-2017,09:51:00,86.25,Buy,24-01-2017,10:24:00,69,19000PE,-431.25
24-01-2017,13:24:00,38.45,Sell,24-01-2017,15:15:00,18.8,18900PE,491.25
25-01-2017,09:30:00,25.25,Sell,25-01-2017,12:59:00,32.8,19200CE,-188.75
25-01-2017,09:30:00,17.3,Sell,25-01-2017,09:49:00,22.5,19100PE,-130
25-01-2017,12:11:00,81.05,Buy,25-01-2017,15:15:00,345.1,19100CE,6601.25
25-01-2017,09:49:00,73.6,Buy,25-01-2017,11:07:00,58.9,19200PE,-367.5
25-01-2017,11:07:00,17.3,Sell,25-01-2017,15:15:00,0.05,19100PE,431.25
27-01-2017,09:30:00,51.35,Sell,27-01-2017,12:06:00,66.75,20400CE,-385
27-01-2017,09:30:00,49.5,Sell,27-01-2017,15:15:00,42,19000PE,187.5
27-01-2017,10:48:00,93.55,Buy,27-01-2017,15:15:00,97.6,20200CE,101.25
27-01-2017,12:26:00,51.35,Sell,27-01-2017,13:47:00,66.75,20400CE,-385
30-01-2017,09:30:00,52,Sell,30-01-2017,15:15:00,32.55,20500CE,486.25
30-01-2017,09:30:00,55,Sell,30-01-2017,14:27:00,71.5,19100PE,-412.5
30-01-2017,09:42:00,81.15,Buy,30-01-2017,15:15:00,85.1,19200PE,98.75
31-01-2017,09:30:00,51.9,Sell,31-01-2017,13:01:00,67.45,20200CE,-388.75
31-01-2017,09:30:00,47.45,Sell,31-01-2017,15:15:00,38,18900PE,236.25
31-01-2017,12:59:00,99.6,Buy,31-01-2017,15:01:00,79.7,20000CE,-497.5
31-01-2017,09:36:00,97.45,Buy,31-01-2017,09:59:00,77.95,19100PE,-487.5
31-01-2017,13:05:00,51.9,Sell,31-01-2017,15:15:00,43.5,20200CE,210
01-02-2017,09:30:00,43.95,Sell,01-02-2017,11:27:00,57.15,20200CE,-330
01-02-2017,09:30:00,50.7,Sell,01-02-2017,11:45:00,65.9,19000PE,-380
01-02-2017,10:45:00,92.65,Buy,01-02-2017,11:45:00,74.1,20000CE,-463.75
01-02-2017,10:20:00,100.6,Buy,01-02-2017,11:27:00,80.5,19200PE,-502.5
01-02-2017,11:40:00,43.95,Sell,01-02-2017,15:15:00,47.45,20200CE,-87.5
01-02-2017,12:02:00,50.7,Sell,01-02-2017,15:15:00,1.25,19000PE,1236.25
02-02-2017,09:30:00,56.05,Sell,02-02-2017,09:45:00,72.85,20000CE,-420
02-02-2017,09:30:00,37.2,Sell,02-02-2017,15:15:00,0.05,19900PE,928.75
02-02-2017,09:32:00,64.45,Buy,02-02-2017,09:34:00,51.55,20000CE,-322.5
02-02-2017,11:37:00,93.55,Buy,02-02-2017,11:40:00,74.85,20000PE,-467.5
02-02-2017,11:10:00,56.05,Sell,02-02-2017,13:35:00,72.85,20000CE,-420
03-02-2017,09:30:00,53.5,Sell,03-02-2017,14:14:00,69.55,20500CE,-401.25
03-02-2017,09:30:00,49.65,Sell,03-02-2017,15:15:00,31.85,19700PE,445
03-02-2017,12:31:00,86.65,Buy,03-02-2017,15:15:00,89.95,20400CE,82.5
03-02-2017,14:43:00,53.5,Sell,03-02-2017,15:15:00,61.2,20500CE,-192.5
