,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,PositionStatus,Pnl,ExitType,IndexSL
0,2020-04-01 14:10:00,2020-04-01 15:01:00,BANKNIFTY09APR2018100CE,632.0,799.0,25,-1,-4175.0,index sl call,18257.8
1,2020-04-01 13:20:00,2020-04-03 14:37:00,BANKNIFTY09APR2018200CE,700.0,135.85,25,-1,14103.75, expiry timeup,18259.75
2,2020-04-03 12:35:00,2020-04-07 09:16:00,BANKNIFTY09APR2017500CE,523.35,838.7,25,-1,-7883.750000000001, StopLoss Hit,17590.15
3,2020-04-03 14:40:00,2020-04-07 09:16:00,BANKNIFTY09APR2017200CE,469.4,1061.3,25,-1,-14797.5, StopLoss Hit,17297.5
4,2020-04-03 10:25:00,2020-04-07 09:36:00,BANKNIFTY09APR2017800CE,512.35,675.8,25,-1,-4086.249999999998, StopLoss Hit,18498.5
5,2020-04-07 09:40:00,2020-04-07 10:13:00,BANKNIFTY09APR2018400PE,459.7,614.85,25,-1,-3878.750000000001, StopLoss Hit,18116.75
6,2020-04-07 15:05:00,2020-04-08 09:16:00,BANKNIFTY09APR2019000PE,420.35,647.55,25,-1,-5679.999999999998, StopLoss Hit,18937.75
7,2020-04-07 11:50:00,2020-04-08 10:13:00,BANKNIFTY09APR2018300PE,435.75,86.4,25,-1,8733.75, expiry timeup,18254.8
8,2020-04-07 12:45:00,2020-04-08 10:19:00,BANKNIFTY09APR2018600PE,500.45,100.0,25,-1,10011.25, expiry timeup,18427.75
9,2020-04-08 11:15:00,2020-04-08 11:37:00,BANKNIFTY09APR2019700PE,501.15,724.9,25,-1,-5593.75, StopLoss Hit,19558.3
10,2020-04-08 10:10:00,2020-04-08 11:44:00,BANKNIFTY09APR2019600PE,555.5,786.1,25,-1,-5765.000000000001, StopLoss Hit,19174.8
11,2020-04-08 13:20:00,2020-04-09 09:16:00,BANKNIFTY09APR2019200CE,343.15,567.2,25,-1,-5601.250000000002, StopLoss Hit,19264.55
12,2020-04-08 15:15:00,2020-04-09 09:16:00,BANKNIFTY09APR2018900CE,340.4,782.1,25,-1,-11042.500000000002, StopLoss Hit,18988.6
13,2020-04-13 09:55:00,2020-04-13 11:15:00,BANKNIFTY16APR2019300CE,542.9,710.0,25,-1,-4177.500000000001, StopLoss Hit,19600.55
14,2020-04-13 14:55:00,2020-04-15 09:17:00,BANKNIFTY16APR2019500CE,539.35,708.2,25,-1,-4221.250000000001, StopLoss Hit,19629.65
15,2020-04-15 13:20:00,2020-04-16 09:16:00,BANKNIFTY16APR2019700CE,340.0,14.8,25,-1,8130.0, expiry timeup,19802.9
16,2020-04-15 13:50:00,2020-04-16 09:16:00,BANKNIFTY16APR2019400CE,362.95,51.6,25,-1,7783.749999999999, expiry timeup,19632.4
17,2020-04-16 09:50:00,2020-04-16 11:29:00,BANKNIFTY23APR2019000CE,645.75,830.0,25,-1,-4606.25,index sl call,19260.8
18,2020-04-17 09:50:00,2020-04-17 10:34:00,BANKNIFTY23APR2020300PE,701.05,903.7,25,-1,-5066.250000000002,index sl put,20092.7
19,2020-04-20 11:00:00,2020-04-20 11:24:00,BANKNIFTY23APR2021000PE,601.0,724.0,25,-1,-3075.0,index sl put,20809.5
20,2020-04-20 10:05:00,2020-04-20 14:53:00,BANKNIFTY23APR2020800PE,589.75,780.0,25,-1,-4756.25, StopLoss Hit,20708.85
21,2020-04-17 14:45:00,2020-04-21 09:21:00,BANKNIFTY23APR2020200PE,606.65,802.45,25,-1,-4895.000000000002, StopLoss Hit,19700.4
22,2020-04-20 15:10:00,2020-04-21 13:19:00,BANKNIFTY23APR2020500CE,474.55,90.15,25,-1,9610.0, expiry timeup,20592.4
23,2020-04-21 13:25:00,2020-04-21 14:32:00,BANKNIFTY23APR2019300CE,424.2,523.2,25,-1,-2475.0000000000014,index sl call,19493.95
24,2020-04-22 09:40:00,2020-04-22 10:35:00,BANKNIFTY23APR2019100CE,366.15,520.55,25,-1,-3859.9999999999995, StopLoss Hit,19243.6
25,2020-04-21 12:30:00,2020-04-22 14:46:00,BANKNIFTY23APR2019500CE,416.35,448.5,25,-1,-803.7499999999994,index sl call,19741.95
26,2020-04-22 11:05:00,2020-04-23 09:24:00,BANKNIFTY23APR2019500PE,432.05,80.0,25,-1,8801.25, expiry timeup,19354.2
27,2020-04-22 14:35:00,2020-04-23 10:18:00,BANKNIFTY23APR2019700PE,363.7,71.95,25,-1,7293.75, expiry timeup,19533.45
28,2020-04-21 09:25:00,2020-04-23 10:23:00,BANKNIFTY23APR2019700CE,469.45,322.3,25,-1,3678.7499999999995,index sl call,19994.95
29,2020-04-23 12:45:00,2020-04-23 13:21:00,BANKNIFTY30APR2020200PE,629.9,758.8,25,-1,-3222.4999999999995,index sl put,20044.65
30,2020-04-23 11:45:00,2020-04-24 09:16:00,BANKNIFTY30APR2020100PE,664.2,865.05,25,-1,-5021.249999999998, StopLoss Hit,20051.45
31,2020-04-23 15:00:00,2020-04-24 09:16:00,BANKNIFTY30APR2020300PE,623.0,998.95,25,-1,-9398.750000000002, StopLoss Hit,20273.85
32,2020-04-23 09:55:00,2020-04-24 09:26:00,BANKNIFTY30APR2019900PE,700.0,787.65,25,-1,-2191.2499999999995,index sl put,19627.9
33,2020-04-24 09:30:00,2020-04-24 12:35:00,BANKNIFTY30APR2019600CE,528.75,696.1,25,-1,-4183.750000000001, StopLoss Hit,19879.65
34,2020-04-24 12:40:00,2020-04-24 13:57:00,BANKNIFTY30APR2019900PE,626.95,756.5,25,-1,-3238.749999999999,index sl put,19690.1
35,2020-04-24 14:25:00,2020-04-27 09:16:00,BANKNIFTY30APR2019500CE,515.85,690.0,25,-1,-4353.749999999999, StopLoss Hit,19658.0
36,2020-04-27 09:35:00,2020-04-28 15:20:00,BANKNIFTY30APR2020000PE,454.05,88.35,25,-1,9142.500000000002, expiry timeup,19885.95
37,2020-04-27 10:20:00,2020-04-29 09:29:00,BANKNIFTY30APR2020200PE,466.5,91.75,25,-1,9368.75, expiry timeup,20026.75
38,2020-04-28 10:15:00,2020-04-29 13:33:00,BANKNIFTY30APR2020400PE,406.5,81.0,25,-1,8137.5, expiry timeup,20260.8
39,2020-04-28 15:25:00,2020-04-30 09:16:00,BANKNIFTY30APR2020700PE,294.05,6.4,25,-1,7191.250000000001, expiry timeup,20393.65
40,2020-04-29 11:30:00,2020-04-30 09:16:00,BANKNIFTY30APR2020800PE,248.4,7.5,25,-1,6022.5, expiry timeup,20764.75
41,2020-04-29 13:35:00,2020-04-30 09:16:00,BANKNIFTY30APR2020800PE,211.0,7.5,25,-1,5087.5, expiry timeup,20810.4
42,2020-04-30 09:45:00,2020-04-30 13:02:00,BANKNIFTY07MAY2021800PE,470.0,626.65,25,-1,-3916.2499999999995, StopLoss Hit,21665.35
43,2020-04-30 13:40:00,2020-05-04 09:22:00,BANKNIFTY07MAY2021600CE,478.25,94.9,25,-1,9583.75, expiry timeup,21727.15
44,2020-04-30 15:25:00,2020-05-04 11:25:00,BANKNIFTY07MAY2021500CE,431.7,85.2,25,-1,8662.5, expiry timeup,21555.1
45,2020-05-04 13:20:00,2020-05-05 09:21:00,BANKNIFTY07MAY2019900CE,558.15,620.8,25,-1,-1566.2499999999995,index sl call,20203.55
46,2020-05-04 14:20:00,2020-05-05 09:21:00,BANKNIFTY07MAY2019800CE,534.85,682.35,25,-1,-3687.5,index sl call,20203.55
47,2020-05-05 10:20:00,2020-05-05 12:21:00,BANKNIFTY07MAY2019900PE,535.8,663.75,25,-1,-3198.750000000001,index sl put,19628.95
48,2020-05-05 12:20:00,2020-05-05 13:35:00,BANKNIFTY07MAY2019600CE,490.0,656.6,25,-1,-4165.000000000001,index sl call,19878.2
